date,open,high,low,close,volume,returns,volatility_20d,cum_returns,rolling_max,drawdown,vol_state,risk_regime,risk_signal,hmm_state
2010-07-08,5242.0,5320.5,5242.0,5296.85009765625,0,0.010637079804091343,0.14813081721894453,1.0123561599194297,1.027225584211947,-0.014475325109746645,Medium Volatility,Medium Risk,NEUTRAL,1
2010-07-09,5297.2001953125,5359.0498046875,5297.2001953125,5352.4501953125,0,0.010496822947821727,0.14968394805042645,1.0229826832902407,1.027225584211947,-0.004130447086714101,Medium Volatility,Medium Risk,NEUTRAL,1
2010-07-12,5352.25,5402.7001953125,5351.60009765625,5383.0,0,0.00570762988402107,0.1422945608256407,1.028821489824224,1.028821489824224,0.0,Medium Volatility,Medium Risk,NEUTRAL,1
2010-07-13,5370.2001953125,5406.2001953125,5357.85009765625,5400.64990234375,0,0.0032788226534925524,0.1419864422494213,1.0321948130314598,1.0321948130314598,0.0,Medium Volatility,Medium Risk,NEUTRAL,1
2010-07-14,5402.0,5453.4501953125,5371.7001953125,5386.14990234375,0,-0.002684862055899462,0.14282868050793757,1.0294235123436553,1.0321948130314598,-0.002684862055899565,Medium Volatility,Medium Risk,NEUTRAL,1
2010-07-15,5387.10009765625,5399.2001953125,5360.60009765625,5378.75,0,-0.001373876048368028,0.14106202553210115,1.0280092120364195,1.0321948130314598,-0.004055049436595758,Medium Volatility,Medium Risk,NEUTRAL,1
2010-07-16,5376.64990234375,5401.35009765625,5374.39990234375,5393.89990234375,0,0.0028166213978619847,0.14062912564937316,1.0309047247802405,1.0321948130314598,-0.0012498495777462453,Medium Volatility,Medium Risk,NEUTRAL,1
2010-07-19,5392.7001953125,5409.10009765625,5361.5,5386.4501953125,0,-0.001381135572800063,0.12751315482572312,1.0294809055926788,1.0321948130314598,-0.0026292589388339192,Medium Volatility,Medium Risk,NEUTRAL,1
2010-07-20,5387.0,5416.4501953125,5353.60009765625,5368.0,0,-0.0034252976716568906,0.12550438509082146,1.025954627043737,1.0321948130314598,-0.006045550615969439,Medium Volatility,Medium Risk,NEUTRAL,1
2010-07-21,5368.85009765625,5409.10009765625,5368.85009765625,5399.35009765625,0,0.0058401821267231036,0.12691289179863469,1.0319463889194267,1.0321948130314598,-0.00024067560589989396,Medium Volatility,Medium Risk,NEUTRAL,1
2010-07-22,5399.14990234375,5447.14990234375,5372.2001953125,5441.9501953125,0,0.007889856535648887,0.12929987728314826,1.040088297880482,1.040088297880482,0.0,Medium Volatility,Medium Risk,NEUTRAL,1
2010-07-23,5441.89990234375,5477.5,5435.14990234375,5449.10009765625,0,0.0013138492796036516,0.1227906240777848,1.0414548171413764,1.0414548171413764,0.0,Medium Volatility,Medium Risk,NEUTRAL,1
2010-07-26,5446.5498046875,5466.25,5409.2001953125,5418.60009765625,0,-0.0055972544921900624,0.11877087102165161,1.0356255294877188,1.0414548171413764,-0.0055972544921901535,Medium Volatility,Medium Risk,NEUTRAL,1
2010-07-27,5420.2001953125,5450.9501953125,5407.2001953125,5430.60009765625,0,0.002214594135705017,0.10408505083451482,1.0379190197121086,1.0414548171413764,-0.003395056003459643,Low Volatility,Low Risk,RISK-ON,1
2010-07-28,5436.10009765625,5447.85009765625,5386.25,5397.5498046875,0,-0.006085937534419772,0.10173855485024148,1.0316023093923545,1.0414548171413764,-0.00946033143911652,Low Volatility,Low Risk,RISK-ON,1
2010-07-29,5397.85009765625,5415.85009765625,5381.5498046875,5408.89990234375,0,0.0021028240714691115,0.09076624074934166,1.0337715875607278,1.0414548171413764,-0.007377400780321714,Low Volatility,Low Risk,RISK-ON,1
2010-07-30,5408.39990234375,5413.25,5349.2001953125,5367.60009765625,0,-0.007635527636516981,0.09535261937836557,1.025878196034062,1.0414548171413764,-0.014956598069294823,Low Volatility,Low Risk,RISK-ON,1
2010-08-02,5369.5498046875,5438.85009765625,5351.2998046875,5431.64990234375,0,0.011932670750838481,0.10236735949578399,1.0381196627778004,1.0414548171413764,-0.0032023994787699615,Low Volatility,Low Risk,RISK-ON,1
2010-08-03,5432.5,5459.2001953125,5426.39990234375,5439.5498046875,0,0.0014544203852941973,0.09756326584520726,1.0396295251777192,1.0414548171413764,-0.001752636728559521,Low Volatility,Low Risk,RISK-ON,1
2010-08-04,5441.35009765625,5481.89990234375,5428.39990234375,5467.85009765625,0,0.0052026902932964525,0.09007973787433886,1.0450383956169857,1.0450383956169857,0.0,Low Volatility,Low Risk,RISK-ON,1
